Name, AU ZERO SPOT YIELD, AU ZERO 1M YIELD, AU ZERO 2M YIELD, AU ZERO 3M YIELD, AU ZERO 6M YIELD, AU ZERO 9M YIELD, AU ZERO 1Y YIELD, AU ZERO 2Y YIELD, AU ZERO 3Y YIELD, AU ZERO 4Y YIELD, AU ZERO 5Y YIELD, AU ZERO 6Y YIELD, AU ZERO 7Y YIELD, AU ZERO 8Y YIELD, AU ZERO 9Y YIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,AU00Y00,AU00Y01,AU00Y02,AU00Y03,AU00Y06,AU00Y09,AU01Y00,AU02Y00,AU03Y00,AU04Y00,AU05Y00,AU06Y00,AU07Y00,AU08Y00,AU09Y00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/08/2008,7.5738,7.7115,7.6648,7.6302,7.5232,7.3406,7.251,6.8131,6.7485,6.7959,6.7745,6.7232,6.7069,6.7019,6.7002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/08/2008,7.5935,7.7134,7.6872,7.6284,7.553,7.3819,7.2899,6.8427,6.7779,6.8204,6.7932,6.7746,6.7541,6.7467,6.7417,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/08/2008,7.0293,7.689,7.6602,7.6195,7.5532,7.3801,7.2814,6.7857,6.6848,6.7168,6.7075,6.6856,6.6659,6.6454,6.6474,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/08/2008,7.2224,7.7007,7.6602,7.6179,7.568,7.3354,7.2378,6.7151,6.6411,6.6892,6.668,6.6963,6.605,6.5886,6.5715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/08/2008,7.2993,7.6988,7.6533,7.6141,7.5582,7.3251,7.229,6.7416,6.6829,6.7413,6.7255,6.6913,6.6746,6.6666,6.6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/08/2008,6.2701,7.6898,7.6415,7.5962,7.5214,7.2856,7.1783,6.684,6.6041,6.6409,6.6314,6.5827,6.5605,6.5563,6.5514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/08/2008,7.4639,7.6664,7.6333,7.5945,7.5127,7.301,7.1935,6.7145,6.6478,6.6959,6.6745,6.634,6.5994,6.5863,6.5754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/08/2008,7.5738,7.6727,7.644,7.5909,7.5146,7.3165,7.2189,6.7827,6.7131,6.7636,6.7449,6.7083,6.6795,6.6649,6.6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/08/2008,7.6802,7.6861,7.653,7.5965,7.5364,7.3354,7.2276,6.7953,6.7257,6.7766,6.7573,6.7119,6.6856,6.6751,6.6639,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21/08/2008,7.311,7.6771,7.6425,7.5892,7.5442,7.3354,7.2358,6.7326,6.6592,6.7068,6.6892,6.6695,6.6465,6.6362,6.6273,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/08/2008,7.2249,7.6572,7.6361,7.6088,7.5179,7.2975,7.202,6.7529,6.6777,6.7363,6.7091,6.681,6.6582,6.6409,6.6296,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/08/2008,7.2249,7.623,7.601,7.5766,7.4846,7.2941,7.2087,6.683,6.6084,6.6678,6.6407,6.6216,6.5988,6.5814,6.5702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/08/2008,7.4404,7.5698,7.5363,7.491,7.4223,7.2098,7.1158,6.6753,6.6164,6.6749,6.6531,6.6218,6.5989,6.5879,6.5739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27/08/2008,7.5702,7.5579,7.5363,7.4918,7.4336,7.2167,7.1212,6.6545,6.6066,6.6594,6.6348,6.5949,6.5539,6.5374,6.5201,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28/08/2008,7.5071,7.5604,7.533,7.5132,7.4126,7.1961,7.0972,6.7667,6.7196,6.7742,6.7464,6.6972,6.6563,6.6333,6.6096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/08/2008,7.4404,7.62,7.5894,7.5774,7.5272,7.2907,7.2121,6.7577,6.7093,6.7675,6.7377,6.6971,6.6562,6.637,6.6196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/09/2008,7.6249,7.5949,7.5579,7.5257,7.4168,7.2425,7.1665,6.6844,6.6173,6.6819,6.6459,6.6091,6.5654,6.5456,6.5253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/09/2008,7.4639,7.5526,7.5248,7.4864,7.3923,7.215,7.131,6.734,6.6747,6.7309,6.6998,6.6273,6.5629,6.5316,6.4994,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/09/2008,7.2224,7.5156,7.5129,7.4811,7.401,7.2391,7.1466,6.6408,6.572,6.6363,6.5954,6.5317,6.4735,6.4431,6.4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/09/2008,7.4326,7.5171,7.5114,7.4971,7.4336,7.2012,7.0989,6.6274,6.5792,6.6427,6.5924,6.5412,6.4889,6.4636,6.4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/09/2008,7.5189,7.526,7.5105,7.4989,7.4046,7.1617,7.0567,6.5077,6.4656,6.5267,6.4739,6.4236,6.3715,6.3433,6.3165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/09/2008,7.3973,7.5496,7.5543,7.5507,7.4746,7.1961,7.0939,6.5606,6.5127,6.5881,6.5491,6.5117,6.4771,6.4602,6.4404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2008,7.6249,7.5462,7.5363,7.5328,7.4115,7.129,7.011,6.4444,6.3974,6.4589,6.4175,6.3898,6.3372,6.3085,6.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2008,7.4079,7.5614,7.5417,7.556,7.4098,7.1135,6.9861,6.5018,6.4274,6.4915,6.4416,6.4176,6.3733,6.357,6.3244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/09/2008,7.3541,7.5659,7.5563,7.5364,7.3793,7.0947,6.9553,6.4595,6.4115,6.4727,6.425,6.3945,6.3576,6.3342,6.3139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/09/2008,7.3345,7.5821,7.5678,7.5595,7.4501,7.1359,7.0026,6.5919,6.5324,6.5848,6.5347,6.5158,6.481,6.4611,6.4371,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/09/2008,6.2701,7.5966,7.5866,7.5989,7.4256,7.0774,6.9401,6.406,6.3899,6.4371,6.4155,6.3815,6.3709,6.3634,6.3545,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/09/2008,7.6799,7.5589,7.5256,7.4883,7.2872,6.9606,6.8065,6.4226,6.4003,6.4632,6.4067,6.3882,6.3617,6.3445,6.3334,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/09/2008,5.1991,7.6282,7.5937,7.5632,7.4396,7.1066,6.9725,6.5461,6.4764,6.5402,6.5013,6.4499,6.4034,6.3812,6.3709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18/09/2008,5.2009,7.705,7.691,7.6881,7.5054,7.1566,7.0313,6.5729,6.5671,6.6354,6.5789,6.4981,6.4645,6.4548,6.4443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/09/2008,5.2009,7.8244,7.8086,7.8133,7.5816,7.1875,7.0769,6.788,6.6898,6.781,6.73,6.7164,6.6627,6.6395,6.6155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22/09/2008,2.0502,7.7123,7.698,7.6846,7.5571,7.2167,7.1175,6.7583,6.6818,6.7791,6.7393,6.69,6.6429,6.6389,6.6279,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23/09/2008,3.0873,7.8229,7.8059,7.792,7.6394,7.3027,7.2003,6.7343,6.6757,6.7676,6.7338,6.7082,6.679,6.6616,6.6438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24/09/2008,6.2712,7.8236,7.7735,7.7322,7.5605,7.2528,7.155,6.6276,6.5537,6.6381,6.5957,6.5384,6.4836,6.4766,6.4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25/09/2008,5.2009,7.83,7.7887,7.7489,7.6018,7.2167,7.1023,6.5655,6.5392,6.6307,6.5966,6.5594,6.6403,6.5134,6.5093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26/09/2008,6.2701,7.7666,7.7482,7.6935,7.4204,7.0499,6.9299,6.4861,6.4482,6.5338,6.4997,6.4448,6.4163,6.4095,6.3983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29/09/2008,9.001,7.7623,7.7088,7.632,7.3478,6.9915,6.8708,6.3541,6.3325,6.4182,6.3901,6.3681,6.3353,6.3366,6.3379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30/09/2008,8.4492,7.7432,7.6891,7.632,7.2673,6.8282,6.6883,6.3002,6.3045,6.3922,6.3691,6.3482,6.3367,6.3342,6.3252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2008,7.8969,7.4351,7.3515,7.2437,7.0206,6.6926,6.5925,6.1906,6.2002,6.2975,6.2913,6.48,6.2596,6.2675,6.2621,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2008,7.3541,7.4207,7.3777,7.2771,7.0136,6.696,6.592,6.1545,6.1747,6.2696,6.258,6.2433,6.2375,6.2377,6.2443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2008,7.9003,7.4246,7.3641,7.2913,7.0276,6.6324,6.516,6.1851,6.204,6.3209,6.3141,6.5049,6.2695,6.2709,6.2722,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2008,8.4492,7.4246,7.3641,7.2913,7.0276,6.6324,6.516,5.8742,5.8748,5.9927,5.9814,6.1771,5.9449,5.9589,5.9602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/10/2008,4.1387,7.3496,7.2708,7.1863,6.7847,6.3131,6.1678,5.3254,5.4539,5.6245,5.6791,5.9916,5.7141,5.7445,5.7818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2008,8.1716,6.7622,6.6632,6.5742,6.0578,5.545,5.437,5.1731,5.2966,5.4806,5.5223,5.6378,5.699,5.7377,5.7778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/2008,9.5515,6.6151,6.532,6.4602,5.8316,5.3909,5.2874,5.3568,5.483,5.6767,5.7175,5.7893,5.827,5.8663,5.907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/2008,8.4492,6.5346,6.4791,6.4319,5.6717,5.3344,5.2587,5.1062,5.3182,5.5116,5.5354,5.758,5.8293,5.8721,5.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/10/2008,11.7981,6.3402,6.3249,6.2673,5.6196,5.158,5.0965,5.3645,5.5416,5.7676,5.835,5.8966,5.9697,6.0299,6.0954,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/10/2008,7.9003,6.3641,6.2556,6.2249,5.5484,5.2128,5.2215,5.4019,5.538,5.7482,5.7712,5.8137,5.8699,5.9153,5.9625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15/10/2008,7.353,6.4486,6.348,6.2963,5.7377,5.2282,5.1921,5.2642,5.4856,5.7003,5.7286,5.7794,5.9926,5.8475,5.8955,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16/10/2008,7.9003,6.1948,6.0255,5.9,5.1997,4.9407,4.9089,5.1152,5.3456,5.581,5.6311,5.7043,5.7589,5.8062,5.8523,,,,,,,,,,,,,,,,,,,,,,,,,,,,
